image_path,qr_count,corners
QRCode\QRCode052.jpg,0,
QRCode\QRCode053.jpg,0,
QRCode\QRCode054.jpg,1,"[(254,315),(99,315),(97,170),(252,171)]"
QRCode\QRCode055.jpg,1,"[(284,320),(140,298),(169,180),(310,198)]"
QRCode\QRCode056.jpg,0,
QRCode\QRCode057.jpg,1,"[(42,36),(341,9),(374,317),(74,351)]"
QRCode\QRCode058.jpg,1,"[(96,41),(379,85),(321,360),(47,326)]"
QRCode\QRCode059.jpg,0,
QRCode\QRCode060.jpg,0,
QRCode\QRCode061.jpg,0,
QRCode\QRCode062.jpg,1,"[(134,121),(254,134),(243,311),(132,307)]"
QRCode\QRCode063.jpg,1,"[(135,121),(281,147),(277,319),(131,324)]"
QRCode\QRCode064.jpg,0,
QRCode\QRCode065.jpg,0,
QRCode\QRCode066.jpg,0,
QRCode\QRCode067.jpg,1,"[(94,77),(349,99),(350,320),(74,298)]"
QRCode\QRCode068.jpg,0,
QRCode\QRCode069.jpg,1,"[(268,194),(85,288),(128,84),(167,92)]"
QRCode\QRCode070.jpg,1,"[(187,94),(371,195),(262,359),(73,266)]"
QRCode\QRCode071.jpg,0,
QRCode\QRCode072.jpg,0,
QRCode\QRCode073.jpg,0,
QRCode\QRCode074.jpg,0,
QRCode\QRCode075.jpg,0,
QRCode\QRCode076.jpg,0,
QRCode\QRCode077.jpg,0,
QRCode\QRCode078.jpg,1,"[(51,114),(379,119),(368,383),(51,379)]"
QRCode\QRCode079.jpg,1,"[(44,40),(384,47),(376,375),(38,367)]"
QRCode\QRCode080.jpg,1,"[(27,43),(380,30),(371,386),(10,359)]"
QRCode\QRCode081.jpg,1,"[(21,48),(380,44),(358,385),(56,385)]"
QRCode\QRCode082.jpg,1,"[(28,385),(48,13),(364,27),(387,376)]"
QRCode\QRCode083.jpg,1,"[(21,392),(17,18),(395,13),(392,393)]"
QRCode\QRCode084.jpg,1,"[(48,21),(382,26),(399,389),(19,376)]"
QRCode\QRCode085.jpg,1,"[(12,67),(354,15),(413,357),(60,407)]"
QRCode\QRCode086.jpg,1,"[(48,24),(380,39),(382,400),(34,398)]"
QRCode\QRCode087.jpg,1,"[(42,38),(363,33),(372,367),(49,376)]"
QRCode\QRCode088.jpg,1,"[(85,57),(369,99),(325,360),(43,322)]"
QRCode\QRCode089.jpg,1,"[(90,49),(389,95),(318,379),(17,311)]"
QRCode\QRCode090.jpg,1,"[(48,44),(375,64),(339,373),(59,363)]"
QRCode\QRCode091.jpg,1,"[(61,52),(355,59),(352,342),(55,338)]"
QRCode\QRCode092.jpg,1,"[(42,42),(369,39),(366,372),(55,376)]"
QRCode\QRCode093.jpg,1,"[(48,375),(49,42),(363,46),(364,371)]"
QRCode\QRCode094.jpg,0,
QRCode\QRCode095.jpg,1,"[(380,392),(208,342),(226,99),(369,133)]"
QRCode\QRCode096.jpg,1,"[(141,161),(243,137),(239,275),(155,308)]"
QRCode\QRCode097.jpg,0,
QRCode\QRCode098.jpg,1,"[(163,130),(288,82),(293,259),(193,291)]"
QRCode\QRCode099.jpg,1,"[(183,140),(326,86),(331,247),(211,295)]"
QRCode\QRCode100.jpg,1,"[(60,178),(144,140),(161,252),(92,296)]"
QRCode\QRCode101.jpg,1,"[(168,126),(247,143),(216,247),(130,201)]"
QRCode\QRCode102.jpg,0,
QRCode\QRCode103.jpg,1,"[(176,78),(255,81),(235,180),(133,161)]"
QRCode\QRCode104.jpg,1,"[(161,255),(44,230),(95,142),(185,157)]"
QRCode\QRCode105.jpg,0,
QRCode\QRCode106.jpg,0,
QRCode\QRCode107.jpg,0,
QRCode\QRCode108.jpg,0,
QRCode\QRCode109.jpg,0,
QRCode\QRCode110.jpg,0,
QRCode\QRCode111.jpg,0,
QRCode\QRCode112.jpg,0,
QRCode\QRCode113.jpg,0,
QRCode\QRCode114.jpg,0,
QRCode\QRCode115.jpg,0,
QRCode\QRCode116.jpg,1,"[(60,45),(340,60),(319,329),(30,314)]"
QRCode\QRCode117.jpg,0,
QRCode\QRCode118.jpg,0,
QRCode\QRCode119.jpg,0,
QRCode\QRCode120.jpg,1,"[(130,191),(280,182),(286,315),(136,327)]"
QRCode\QRCode121.jpg,1,"[(122,88),(272,75),(277,211),(130,231)]"
QRCode\QRCode122.jpg,1,"[(94,49),(312,21),(342,253),(123,297)]"
QRCode\QRCode123.jpg,1,"[(101,69),(360,75),(343,307),(112,306)]"
QRCode\QRCode124.jpg,1,"[(193,65),(389,172),(261,370),(48,233)]"
QRCode\QRCode125.jpg,0,
QRCode\QRCode126.jpg,0,
QRCode\QRCode127.jpg,0,
QRCode\QRCode128.jpg,0,
QRCode\QRCode129.jpg,0,
QRCode\QRCode130.jpg,2,"[(202,299),(78,385),(9,250),(141,163)];[(400,160),(286,242),(229,105),(350,28)]"
QRCode\QRCode131.jpg,2,"[(92,264),(138,164),(214,183),(168,320)];[(383,191),(270,259),(220,115),(333,52)]"
QRCode\QRCode132.jpg,2,"[(198,290),(105,372),(50,242),(144,166)];[(343,162),(260,235),(207,113),(290,46)]"
QRCode\QRCode133.jpg,0,
QRCode\QRCode134.jpg,0,
QRCode\QRCode135.jpg,0,
QRCode\QRCode136.jpg,0,
QRCode\QRCode137.jpg,0,
QRCode\QRCode138.jpg,0,
QRCode\QRCode139.jpg,0,
QRCode\QRCode140.jpg,0,
QRCode\QRCode141.jpg,0,
QRCode\QRCode142.jpg,0,
QRCode\QRCode143.jpg,0,
QRCode\QRCode144.jpg,0,
QRCode\QRCode145.jpg,0,
QRCode\QRCode146.jpg,0,
QRCode\QRCode147.jpg,1,"[(45,45),(370,45),(371,371),(45,370)]"
QRCode\QRCode148.jpg,1,"[(253,151),(123,370),(45,370),(45,45)]"
QRCode\QRCode149.jpg,0,
QRCode\QRCode150.jpg,1,"[(169,277),(171,182),(246,185),(242,284)]"
QRCode\QRCode151.jpg,0,
QRCode\QRCode152.jpg,0,
QRCode\QRCode153.jpg,0,
QRCode\QRCode154.jpg,1,"[(193,139),(243,231),(176,290),(126,205)]"
QRCode\QRCode155.jpg,0,
QRCode\QRCode156.jpg,0,
QRCode\QRCode157.jpg,0,
QRCode\QRCode158.jpg,0,
QRCode\QRCode159.jpg,0,
QRCode\QRCode160.jpg,1,"[(311,182),(404,182),(404,251),(309,249)]"
QRCode\QRCode161.jpg,1,"[(267,185),(352,187),(353,250),(265,250)]"
QRCode\QRCode162.jpg,0,
QRCode\QRCode163.jpg,0,
QRCode\QRCode164.jpg,1,"[(191,362),(230,166),(424,207),(381,406)]"
QRCode\QRCode165.jpg,0,
QRCode\QRCode166.jpg,1,"[(45,45),(370,45),(371,371),(45,370)]"
QRCode\QRCode167.jpg,0,
QRCode\QRCode168.jpg,0,
QRCode\QRCode169.jpg,0,
QRCode\QRCode170.jpg,0,
QRCode\QRCode171.jpg,0,
QRCode\QRCode172.jpg,0,
QRCode\QRCode173.jpg,0,
QRCode\QRCode174.jpg,0,
QRCode\QRCode175.jpg,0,
QRCode\QRCode176.jpg,1,"[(332,195),(223,349),(57,225),(179,66)]"
QRCode\QRCode177.jpg,0,
QRCode\QRCode178.jpg,0,
QRCode\QRCode179.jpg,0,
QRCode\QRCode180.jpg,0,
QRCode\QRCode181.jpg,0,
QRCode\QRCode182.jpg,0,
QRCode\QRCode183.jpg,0,
QRCode\QRCode184.jpg,0,
QRCode\QRCode185.jpg,0,
QRCode\QRCode186.jpg,0,
QRCode\QRCode187.jpg,0,
QRCode\QRCode188.jpg,1,"[(177,846),(177,179),(845,179),(846,846)]"
QRCode\QRCode189.jpg,1,"[(846,846),(179,846),(179,177),(846,177)]"
QRCode\QRCode190.jpg,1,"[(51,972),(51,53),(972,52),(972,972)]"
QRCode\QRCode191.jpg,1,"[(200,297),(256,292),(261,366),(225,371)]"
QRCode\QRCode192.jpg,0,
QRCode\QRCode193.jpg,0,
QRCode\QRCode194.jpg,1,"[(314,180),(219,321),(87,221),(186,93)]"
QRCode\QRCode195.jpg,2,"[(311,220),(270,115),(378,126),(375,172)];[(81,70),(191,95),(181,260),(65,234)]"
QRCode\QRCode196.jpg,1,"[(165,258),(165,167),(237,171),(233,267)]"
QRCode\QRCode197.jpg,1,"[(161,252),(160,163),(226,167),(226,262)]"
QRCode\QRCode198.jpg,1,"[(216,170),(222,253),(165,241),(165,218)]"
QRCode\QRCode199.jpg,0,
QRCode\QRCode200.jpg,1,"[(846,177),(846,846),(179,845),(179,177)]"
QRCode\QRCode201.jpg,1,"[(196,139),(243,230),(175,290),(125,202)]"
QRCode\QRCode202.jpg,1,"[(972,51),(972,971),(49,976),(51,51)]"
QRCode\QRCode203.jpg,1,"[(194,139),(242,230),(178,283),(131,200)]"
QRCode\QRCode204.jpg,1,"[(71,71),(952,71),(952,952),(71,952)]"
QRCode\QRCode205.jpg,1,"[(71,73),(952,73),(951,952),(71,952)]"
QRCode\QRCode206.jpg,1,"[(71,952),(71,73),(951,72),(952,952)]"
QRCode\QRCode207.jpg,1,"[(972,51),(972,972),(49,973),(51,51)]"
QRCode\QRCode208.jpg,1,"[(974,972),(51,972),(50,49),(974,51)]"
QRCode\QRCode209.jpg,1,"[(878,257),(878,766),(147,766),(147,257)]"
QRCode\QRCode210.jpg,1,"[(147,257),(876,257),(875,767),(147,768)]"
QRCode\QRCode211.jpg,1,"[(147,768),(147,257),(875,257),(876,768)]"
QRCode\QRCode212.jpg,1,"[(71,71),(952,71),(952,952),(71,952)]"
QRCode\QRCode213.jpg,1,"[(992,990),(33,990),(34,32),(992,33)]"
QRCode\QRCode214.jpg,1,"[(990,33),(990,990),(30,989),(33,33)]"
QRCode\QRCode215.jpg,1,"[(49,49),(974,49),(975,975),(49,974)]"
QRCode\QRCode216.jpg,1,"[(992,33),(992,990),(31,992),(33,33)]"
QRCode\QRCode217.jpg,1,"[(968,968),(57,968),(56,55),(968,55)]"
QRCode\QRCode218.jpg,1,"[(55,55),(967,55),(968,967),(55,968)]"
QRCode\QRCode219.jpg,1,"[(924,922),(101,922),(100,99),(924,101)]"
QRCode\QRCode220.jpg,1,"[(101,924),(101,101),(923,100),(922,924)]"
QRCode\QRCode221.jpg,0,
QRCode\QRCode222.jpg,0,
QRCode\QRCode223.jpg,1,"[(96,152),(266,141),(280,263),(116,284)]"
QRCode\QRCode224.jpg,1,"[(45,45),(370,45),(371,371),(45,370)]"
QRCode\QRCode225.jpg,1,"[(34,34),(381,34),(382,382),(34,381)]"
QRCode\QRCode226.jpg,1,"[(40,40),(374,40),(374,373),(40,375)]"
QRCode\QRCode227.jpg,1,"[(37,37),(378,37),(378,378),(37,378)]"
QRCode\QRCode228.jpg,1,"[(37,37),(378,37),(378,378),(37,378)]"
QRCode\QRCode229.jpg,1,"[(29,29),(385,29),(385,385),(29,386)]"
QRCode\QRCode230.jpg,1,"[(50,50),(365,50),(365,367),(50,363)]"
QRCode\QRCode231.jpg,1,"[(50,50),(365,50),(365,367),(50,363)]"
QRCode\QRCode232.jpg,1,"[(40,40),(374,40),(374,374),(40,375)]"
QRCode\QRCode233.jpg,1,"[(34,34),(381,34),(382,382),(34,381)]"
QRCode\QRCode234.jpg,1,"[(45,45),(370,45),(371,371),(45,370)]"
QRCode\QRCode235.jpg,1,"[(40,40),(374,40),(374,373),(40,375)]"
QRCode\QRCode236.jpg,1,"[(40,40),(374,40),(374,373),(40,375)]"
QRCode\QRCode237.jpg,1,"[(34,34),(381,34),(382,382),(34,381)]"
QRCode\QRCode238.jpg,1,"[(40,40),(374,40),(374,373),(40,375)]"
QRCode\QRCode239.jpg,1,"[(914,111),(914,912),(113,906),(111,111)]"
QRCode\QRCode240.jpg,1,"[(111,111),(912,111),(905,905),(111,912)]"
QRCode\QRCode241.jpg,1,"[(914,912),(111,912),(114,113),(914,111)]"
QRCode\QRCode242.jpg,0,
QRCode\QRCode243.jpg,0,
QRCode\QRCode244.jpg,0,
QRCode\QRCode245.jpg,0,
QRCode\QRCode246.jpg,0,
QRCode\QRCode247.jpg,0,
QRCode\QRCode248.jpg,0,
QRCode\QRCode249.jpg,0,
QRCode\QRCode250.jpg,0,
QRCode\QRCode251.jpg,0,
QRCode\QRCode252.jpg,0,
QRCode\QRCode253.jpg,0,
QRCode\QRCode254.jpg,0,
QRCode\QRCode255.jpg,0,
QRCode\QRCode256.jpg,0,
QRCode\QRCode257.jpg,0,
QRCode\QRCode258.jpg,0,
QRCode\QRCode259.jpg,0,
QRCode\QRCode260.jpg,0,
QRCode\QRCode261.jpg,0,
QRCode\QRCode262.jpg,0,
QRCode\QRCode263.jpg,0,
QRCode\QRCode264.jpg,0,
QRCode\QRCode265.jpg,0,
QRCode\QRCode266.jpg,1,"[(750,201),(750,822),(96,908),(243,201)]"
QRCode\QRCode267.jpg,0,
QRCode\QRCode268.jpg,0,
QRCode\QRCode269.jpg,0,
QRCode\QRCode270.jpg,0,
QRCode\QRCode271.jpg,0,
QRCode\QRCode272.jpg,0,
QRCode\QRCode273.jpg,0,
QRCode\QRCode274.jpg,0,
QRCode\QRCode275.jpg,0,
